id,source,date,text
1,support_ticket,2026-04-14,"Loading my invoices takes forever. The dashboard spins for like 20 seconds every time I open it."
2,app_review,2026-04-16,"App is decent but SO slow when I have a lot of invoices. Please optimize the loading speed."
3,slack,2026-04-18,"Anyone else seeing the invoice list take ages to load? It's painful with 200+ invoices."
4,email,2026-04-19,"My biggest complaint is performance. Opening the invoices page is incredibly sluggish."
5,survey,2026-04-21,"Speed. The whole thing lags when loading invoice history. Otherwise I like Billy."
6,support_ticket,2026-04-22,"Why can't I set up a recurring invoice? I bill the same clients every month and have to redo it manually each time."
7,app_review,2026-04-23,"Needs recurring/repeating invoices badly. I send identical monthly bills and Billy makes me start over every time."
8,slack,2026-04-24,"Is there a way to schedule an invoice to auto-send every month? Recurring billing would save me hours."
9,email,2026-04-25,"Please add subscription-style invoices that repeat automatically. My retainer clients need this."
10,survey,2026-04-26,"Automatic monthly invoicing is the #1 thing missing for me."
11,support_ticket,2026-04-27,"The tax settings are so confusing. I can't figure out how to apply different VAT rates per region."
12,app_review,2026-04-28,"Tax configuration is a nightmare. I never know if I'm charging the right sales tax."
13,slack,2026-04-29,"Can someone explain the tax setup? The options are unclear and I'm scared I'm doing it wrong."
14,email,2026-04-30,"The tax/VAT settings need a serious rework. It's not obvious how to set tax per customer."
15,survey,2026-05-01,"Make taxes simpler. The current tax settings screen is overwhelming and confusing."
16,support_ticket,2026-05-02,"The mobile app keeps crashing when I try to open an invoice. Android, Pixel 7."
17,app_review,2026-05-03,"iOS app crashes constantly. Every time I tap a client the whole thing closes."
18,slack,2026-05-04,"Mobile app crashed three times today while editing an invoice. Super frustrating."
19,email,2026-05-05,"Your phone app is unstable. It freezes and shuts down whenever I add a line item."
20,survey,2026-05-06,"Fix the mobile crashes. The app force-closes on my iPhone all the time."
21,support_ticket,2026-05-07,"Do you support Stripe? I want my customers to pay invoices by card directly."
22,app_review,2026-05-08,"Would love a Stripe integration so clients can pay online instantly."
23,slack,2026-05-09,"Any plans to connect Stripe for card payments? Right now I chase bank transfers manually."
24,email,2026-05-10,"Please integrate with Stripe or another payment processor so invoices can be paid with a credit card."
25,survey,2026-05-11,"Online card payments via Stripe would be a game changer for getting paid faster."
26,support_ticket,2026-05-12,"Can I export my invoices to QuickBooks? My accountant needs the data and I copy it by hand now."
27,app_review,2026-05-13,"Needs Xero and QuickBooks export. Accounting reconciliation is manual and painful."
28,slack,2026-05-14,"Is there any way to sync Billy with my accounting software? Exporting to QuickBooks would help a lot."
29,email,2026-05-15,"We need an export to accounting tools like Xero. Right now month-end close is a chore."
30,survey,2026-05-16,"Integration with accounting software (QuickBooks/Xero) is essential for my bookkeeper."
31,support_ticket,2026-05-17,"Please add a dark mode. Staring at the bright white screen at night hurts my eyes."
32,app_review,2026-05-18,"Where is dark mode?! Every modern app has it. The white background is too harsh."
33,slack,2026-05-19,"+1 for dark theme. Would love a darker color scheme for late night invoicing."
34,email,2026-05-20,"A dark mode option would be really nice for those of us working evenings."
35,support_ticket,2026-05-21,"I work with international clients and can't invoice in euros. Multi-currency support please."
36,app_review,2026-05-22,"No multi-currency?? I bill clients in USD, GBP and EUR and Billy only does one currency."
37,slack,2026-05-23,"Need to send invoices in different currencies. Multi-currency is a must for global freelancers."
38,email,2026-05-24,"Please support multiple currencies. I lose money on conversions because I can't bill in the client's currency."
39,support_ticket,2026-05-25,"The payment reminders are weak. I wish Billy would automatically nudge clients who haven't paid."
40,app_review,2026-05-26,"Better automated reminders would help. Late-paying clients ignore the single email Billy sends."
41,slack,2026-05-27,"Can we get customizable payment reminder schedules? One reminder isn't enough to get people to pay."
42,email,2026-05-28,"Automatic overdue reminders, with a few follow-ups, would dramatically improve my cash flow."
43,survey,2026-05-29,"More aggressive, scheduled payment reminders please. Getting paid on time is my biggest pain."
44,support_ticket,2026-05-30,"Invoice page is still really slow to load, even after the last update. Performance needs work."
45,survey,2026-06-01,"Loving Billy overall, but please speed up the invoice loading and add recurring invoices."
